Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Alexander Street,North,Church Street and Mutual Street,8:00 a.m. to 6:00 p.m.,"{'start_intersection': 'Church Street', 'end_intersection': 'Mutual Street', 'rule_type': 'block'}"
Alexander Street,South,A point 79.5 metres east of Church Street and Mutual Street,Anytime,"{'distance': '79.5', 'direction': 'east', 'start_intersection': 'Church Street', 'end_intersection': 'Mutual Street', 'rule_type': 'offset_to_intersect'}"
Alexander Street,South,Church Street and a point 30.5 metres east,Anytime,"{'start_intersection': 'Church Street', 'distance': '30.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Alexandra Boulevard,East and south,A point 36.6 metres north of Lytton Boulevard and a point 54.9 metres further east and north,Anytime,"{'distance': '36.6', 'direction': 'north', 'start_intersection': 'Lytton Boulevard', 'end_intersection': 'a point 54.9 metres further east and north', 'rule_type': 'offset_to_intersect'}"
Alexandra Boulevard,North,Rosewell Avenue and Lytton Boulevard,Anytime,"{'start_intersection': 'Rosewell Avenue', 'end_intersection': 'Lytton Boulevard', 'rule_type': 'block'}"
Alexandra Boulevard,North,Yonge Street and Duplex Avenue,Anytime,"{'start_intersection': 'Yonge Street', 'end_intersection': 'Duplex Avenue', 'rule_type': 'block'}"
Alton Avenue,West,A point 29 metres north of Sawden Avenue and a point 5.5 metres further north,Anytime,"{'dist1': '29', 'dir1': 'north', 'start_intersection': 'Sawden Avenue', 'dist2': '5.5', 'rule_type': 'relative_extension'}"
Alvin Avenue,East,A point 30.5 metres north of Heath Street East and Glen Elm Avenue,Anytime,"{'distance': '30.5', 'direction': 'north', 'start_intersection': 'Heath Street East', 'end_intersection': 'Glen Elm Avenue', 'rule_type': 'offset_to_intersect'}"
Alvin Avenue,West,Heath Street East and Glen Elm Avenue,Anytime,"{'start_intersection': 'Heath Street East', 'end_intersection': 'Glen Elm Avenue', 'rule_type': 'block'}"
Amelia Street,South,Parliament Street and a point 45.7 metres east of Sumach Street,Anytime,"{'start_intersection': 'Parliament Street', 'distance': '45.7', 'direction': 'east', 'offset_intersection': 'Sumach Street', 'rule_type': 'intersect_to_offset'}"
Algonquin Avenue,North,Indian Road and Parkside Drive,Anytime,"{'start_intersection': 'Indian Road', 'end_intersection': 'Parkside Drive', 'rule_type': 'block'}"
Alhambra Avenue,East,Boustead Avenue and Bloor Street West,Anytime,"{'start_intersection': 'Boustead Avenue', 'end_intersection': 'Bloor Street West', 'rule_type': 'block'}"
Allen Avenue,South,Broadview Avenue and Boulton Avenue,Anytime,"{'start_intersection': 'Broadview Avenue', 'end_intersection': 'Boulton Avenue', 'rule_type': 'block'}"
Alma Avenue,South,Dufferin Street and Gladstone Avenue,"Each Thu., Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Dufferin Street', 'end_intersection': 'Gladstone Avenue', 'rule_type': 'block'}"
Alton Avenue,East,Dundas Street East and Gerrard Street East,Anytime,"{'start_intersection': 'Dundas Street East', 'end_intersection': 'Gerrard Street East', 'rule_type': 'block'}"
Ardmore Road,North,Bathurst Street and Richview Avenue,7:00 a.m. to 9:00 a.m.,"{'start_intersection': 'Bathurst Street', 'end_intersection': 'Richview Avenue', 'rule_type': 'block'}"
Ardmore Road,South,Spadina Road and Bathurst Street,Anytime,"{'start_intersection': 'Spadina Road', 'end_intersection': 'Bathurst Street', 'rule_type': 'block'}"
Ardwold Gate,North,Spadina Road and the south end of Ardwold Gate,2:00 a.m. to 11:00 a.m.,"{'start_intersection': 'Spadina Road', 'end_intersection': 'the south end of Ardwold Gate', 'rule_type': 'block'}"
Ancroft Place,Both,Sherbourne Street North and the south end of Ancroft Place,Anytime,"{'start_intersection': 'Sherbourne Street North', 'end_intersection': 'the south end of Ancroft Place', 'rule_type': 'block'}"
Anderson Avenue,North,Colin Avenue and Maxwell Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri.","{'start_intersection': 'Colin Avenue', 'end_intersection': 'Maxwell Avenue', 'rule_type': 'block'}"
Anderson Avenue,North,Duplex Avenue and Maxwell Avenue,Anytime,"{'start_intersection': 'Duplex Avenue', 'end_intersection': 'Maxwell Avenue', 'rule_type': 'block'}"
Anderson Avenue,North,Oriole Parkway and Lascelles Boulevard,"8:00 a.m. to 10:00 a.m., Mon. to Fri.","{'start_intersection': 'Oriole Parkway', 'end_intersection': 'Lascelles Boulevard', 'rule_type': 'block'}"
Anderson Avenue,South,Duplex Avenue and Colin Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Duplex Avenue', 'end_intersection': 'Colin Avenue', 'rule_type': 'block'}"
Anderson Avenue,South,Eastbourne Avenue and Duplex Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Eastbourne Avenue', 'end_intersection': 'Duplex Avenue', 'rule_type': 'block'}"
Anderson Avenue,South,Lascelles Boulevard and Colin Avenue,Anytime,"{'start_intersection': 'Lascelles Boulevard', 'end_intersection': 'Colin Avenue', 'rule_type': 'block'}"
Andrews Avenue,South,Markham Street and the west end of Andrews Avenue,Anytime,"{'start_intersection': 'Markham Street', 'end_intersection': 'the west end of Andrews Avenue', 'rule_type': 'block'}"
Annette Street,Both,Dundas Street West and Indian Road,Anytime,"{'start_intersection': 'Dundas Street West', 'end_intersection': 'Indian Road', 'rule_type': 'block'}"
Antler Street,South,A point 15.2 metres west of lane first west of Campbell Avenue (north from Antler Street) and a point 15.2 metres east of lane first west of Campbell Avenue,Anytime,"{'start_intersection': 'A point 15.2 metres west of lane first west of Campbell Avenue (north from Antler Street)', 'distance': '15.2', 'direction': 'east', 'offset_intersection': 'lane first west of Campbell Avenue', 'rule_type': 'intersect_to_offset'}"
Antler Street,South,Franklin Avenue and the east end of Antler Street,8:30 a.m. to 6:00 p.m.,"{'start_intersection': 'Franklin Avenue', 'end_intersection': 'the east end of Antler Street', 'rule_type': 'block'}"
Archer Road,South,Spadina Road and Dunloe Road,Anytime,"{'start_intersection': 'Spadina Road', 'end_intersection': 'Dunloe Road', 'rule_type': 'block'}"
Archer Street,North,The north/south leg of Archer Street and the east end of Archer Street,"Each Thu., Apr. 1 to Nov. 30","{'start_intersection': 'The north/south leg of Archer Street', 'end_intersection': 'the east end of Archer Street', 'rule_type': 'block'}"
Archer Street,South,The north/south leg of Archer Street and the east end of Archer Street,"Anytime, except each Thu., Apr. 1 to Nov. 30","{'start_intersection': 'The north/south leg of Archer Street', 'end_intersection': 'the east end of Archer Street', 'rule_type': 'block'}"
Ardagh Street,South,Jane Street and Runnymede Road,Anytime,"{'start_intersection': 'Jane Street', 'end_intersection': 'Runnymede Road', 'rule_type': 'block'}"
Armadale Avenue,West and North,Mayfield Avenue and South Kingsway,Anytime,"{'start_intersection': 'Mayfield Avenue', 'end_intersection': 'South Kingsway', 'rule_type': 'block'}"
Armadale Avenue,West,Colbeck Street and Annette Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Colbeck Street', 'end_intersection': 'Annette Street', 'rule_type': 'block'}"
Ardwold Gate,South,A point 131.1 metres east of Spadina Road and the south end of Ardwold Gate,2:00 a.m. to 11:00 a.m.,"{'distance': '131.1', 'direction': 'east', 'start_intersection': 'Spadina Road', 'end_intersection': 'the south end of Ardwold Gate', 'rule_type': 'offset_to_intersect'}"
Ardwold Gate,South,Spadina Road and a point 131.1 metres east,Anytime,"{'start_intersection': 'Spadina Road', 'distance': '131.1', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Argyle Place,Both,Argyle Street and Bruce Street,Anytime,"{'start_intersection': 'Argyle Street', 'end_intersection': 'Bruce Street', 'rule_type': 'block'}"
Argyle Street,Both,Gladstone Avenue and Northcote Avenue,Anytime,"{'start_intersection': 'Gladstone Avenue', 'end_intersection': 'Northcote Avenue', 'rule_type': 'block'}"
Argyle Street,North,Dovercourt Road and a point 32 metres further west,Anytime,"{'start_intersection': 'Dovercourt Road', 'distance': '32', 'direction': 'west', 'rule_type': 'intersect_extension'}"
Ascot Avenue,South,Earlscourt Avenue and a point 30.5 metres west,Anytime,"{'start_intersection': 'Earlscourt Avenue', 'distance': '30.5', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Armoury Street,South,University Avenue and Chestnut Street,Anytime,"{'start_intersection': 'University Avenue', 'end_intersection': 'Chestnut Street', 'rule_type': 'block'}"
Armstrong Avenue,North,Emerson Avenue and Dufferin Street,"Anytime, from the 16th day to the last day of each month, Apr. 1 to Nov. 30, inclusive","{'start_intersection': 'Emerson Avenue', 'end_intersection': 'Dufferin Street', 'rule_type': 'block'}"
Armstrong Avenue,North,Emerson Avenue and Dufferin Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Emerson Avenue', 'end_intersection': 'Dufferin Street', 'rule_type': 'block'}"
Arnold Avenue (TO),Both,Dundas Street East and St. David Street,Anytime,"{'start_intersection': 'Dundas Street East', 'end_intersection': 'St. David Street', 'rule_type': 'block'}"
Arundel Avenue,West,A point 87 metres north of Danforth Avenue and Browning Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'distance': '87', 'direction': 'north', 'start_intersection': 'Danforth Avenue', 'end_intersection': 'Browning Avenue', 'rule_type': 'offset_to_intersect'}"
Arundel Avenue,West,Browning Avenue and a point 44.8 metres north of Fulton Avenue,Anytime,"{'start_intersection': 'Browning Avenue', 'distance': '44.8', 'direction': 'north', 'offset_intersection': 'Fulton Avenue', 'rule_type': 'intersect_to_offset'}"
Ascot Avenue,North,St. Clair Gardens and Dufferin Street,"12:01 a.m. to 7:59 a.m., 9:01 a.m. to 2:59 p.m., 4:01 p.m. to 12:00 a.m., Mon. to Fri.; Anytime, Sat. and Sun.","{'start_intersection': 'St. Clair Gardens', 'end_intersection': 'Dufferin Street', 'rule_type': 'block'}"
Bleecker Street,West,A point 121 metres north of Carlton Street and a point 50 metres further north,"10:00 a.m. to 4:00 p.m., Mon. to Fri.","{'dist1': '121', 'dir1': 'north', 'start_intersection': 'Carlton Street', 'dist2': '50', 'rule_type': 'relative_extension'}"
Blong Avenue,South,Pape Avenue and the east end of Blong Avenue,Anytime,"{'start_intersection': 'Pape Avenue', 'end_intersection': 'the east end of Blong Avenue', 'rule_type': 'block'}"
Boston Avenue,East,Badgerow Avenue and a point 92 metres south,Anytime,"{'start_intersection': 'Badgerow Avenue', 'distance': '92', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Belsize Drive,North,Gresham Road and a point 43 metres west of Bayview Avenue,Anytime,"{'start_intersection': 'Gresham Road', 'distance': '43', 'direction': 'west', 'offset_intersection': 'Bayview Avenue', 'rule_type': 'intersect_to_offset'}"
Belsize Drive,North,Tullis Drive and Cuthbert Crescent,Anytime,"{'start_intersection': 'Tullis Drive', 'end_intersection': 'Cuthbert Crescent', 'rule_type': 'block'}"
Belsize Drive,North,Wilfrid Avenue and Acacia Road,"8:00 a.m. to 10:00 a.m., Mon. to Fri.","{'start_intersection': 'Wilfrid Avenue', 'end_intersection': 'Acacia Road', 'rule_type': 'block'}"
Bertmount Avenue,East,A point 307.5 metres north of Queen Street East and Mallon Avenue,Anytime,"{'distance': '307.5', 'direction': 'north', 'start_intersection': 'Queen Street East', 'end_intersection': 'Mallon Avenue', 'rule_type': 'offset_to_intersect'}"
Bertmount Avenue,East,A point 53.5 metres north of Queen Street East and a point 46 metres further north,Anytime,"{'dist1': '53.5', 'dir1': 'north', 'start_intersection': 'Queen Street East', 'dist2': '46', 'rule_type': 'relative_extension'}"
Bloomfield Avenue,North,Prust Avenue and Greenwood Avenue,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Prust Avenue', 'end_intersection': 'Greenwood Avenue', 'rule_type': 'block'}"
Boston Avenue,East,Gerrard Street East and Badgerow Avenue,10:00 a.m. to 6:00 p.m.,"{'start_intersection': 'Gerrard Street East', 'end_intersection': 'Badgerow Avenue', 'rule_type': 'block'}"
Boston Avenue,West,Queen Street East and Dundas Street East,Anytime,"{'start_intersection': 'Queen Street East', 'end_intersection': 'Dundas Street East', 'rule_type': 'block'}"
Boswell Avenue,Both,Avenue Road and Bedford Road,Anytime,"{'start_intersection': 'Avenue Road', 'end_intersection': 'Bedford Road', 'rule_type': 'block'}"
Belsize Drive,South,A point 48.8 metres east of Yonge Street and a point 187.4 metres further east,"9:00 a.m. to 11:00 a.m., Mon. to Fri.","{'dist1': '48.8', 'dir1': 'east', 'start_intersection': 'Yonge Street', 'dist2': '187.4', 'rule_type': 'relative_extension'}"
Belsize Drive,South,Mount Pleasant Road and Acacia Road,"9:00 a.m. to 11:00 a.m., Mon. to Fri.","{'start_intersection': 'Mount Pleasant Road', 'end_intersection': 'Acacia Road', 'rule_type': 'block'}"
Benlamond Avenue,North,Main Street and Norwood Road,Anytime,"{'start_intersection': 'Main Street', 'end_intersection': 'Norwood Road', 'rule_type': 'block'}"
Bertmount Avenue,East,A point 99.5 metres north of Queen Street East and a point 22.5 metres further north,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'dist1': '99.5', 'dir1': 'north', 'start_intersection': 'Queen Street East', 'dist2': '22.5', 'rule_type': 'relative_extension'}"
Bertmount Avenue,East,Queen Street East and a point 53.5 metres north,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Queen Street East', 'distance': '53.5', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Blythwood Gardens,East,Blythwood Road and a point 27.4 metres south,Anytime,"{'start_intersection': 'Blythwood Road', 'distance': '27.4', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Bouchette Street,West,Commissioners Street and Basin Street,Anytime,"{'start_intersection': 'Commissioners Street', 'end_intersection': 'Basin Street', 'rule_type': 'block'}"
Boultbee Avenue,North,Jones Avenue and Blake Street,"8:00 a.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Jones Avenue', 'end_intersection': 'Blake Street', 'rule_type': 'block'}"
Boultbee Avenue,North,Jones Avenue and the east end of Boultbee Avenue,Anytime,"{'start_intersection': 'Jones Avenue', 'end_intersection': 'the east end of Boultbee Avenue', 'rule_type': 'block'}"
Benson Avenue,Both,Alberta Avenue and a point 41.1 metres east,Anytime,"{'start_intersection': 'Alberta Avenue', 'distance': '41.1', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Benson Avenue,North,A point 41.1 metres east of Alberta Avenue and Christie Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'distance': '41.1', 'direction': 'east', 'start_intersection': 'Alberta Avenue', 'end_intersection': 'Christie Street', 'rule_type': 'offset_to_intersect'}"
Bertmount Avenue,East,A point 260.5 metres north of Queen Street East and a point 47 metres further north,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'dist1': '260.5', 'dir1': 'north', 'start_intersection': 'Queen Street East', 'dist2': '47', 'rule_type': 'relative_extension'}"
Berwick Avenue,North,A point 120.4 metres west of Yonge Street and Duplex Avenue,"8:00 a.m. to 10:00 a.m., Mon. to Fri.","{'distance': '120.4', 'direction': 'west', 'start_intersection': 'Yonge Street', 'end_intersection': 'Duplex Avenue', 'rule_type': 'offset_to_intersect'}"
Blythwood Road,North,St. Hilda's Avenue and and a point 5.7 metres east of Strathgowan Crescent,Anytime,"{'start_intersection': ""St. Hilda's Avenue and"", 'distance': '5.7', 'direction': 'east', 'offset_intersection': 'Strathgowan Crescent', 'rule_type': 'intersect_to_offset'}"
Blythwood Road,South,A point 105.2 metres west of Strathgowan Crescent and a point 79.2 metres further west,Anytime,"{'dist1': '105.2', 'dir1': 'west', 'start_intersection': 'Strathgowan Crescent', 'dist2': '79.2', 'rule_type': 'relative_extension'}"
Boardwalk Drive,East,Queen Street East and a point 296 metres south,Anytime,"{'start_intersection': 'Queen Street East', 'distance': '296', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Boultbee Avenue,North,Kiswick Avenue and Blake Street,Anytime,"{'start_intersection': 'Kiswick Avenue', 'end_intersection': 'Blake Street', 'rule_type': 'block'}"
Boultbee Avenue,South,Kiswick Street and Jones Avenue,Anytime,"{'start_intersection': 'Kiswick Street', 'end_intersection': 'Jones Avenue', 'rule_type': 'block'}"
Benvenuto Place,East,Edmund Avenue and the south end of Benvenuto Place,Anytime,"{'start_intersection': 'Edmund Avenue', 'end_intersection': 'the south end of Benvenuto Place', 'rule_type': 'block'}"
Beresford Avenue,Both,A point 86.9 metres south of Ardagh Street and a point 64 metres further south,Anytime,"{'dist1': '86.9', 'dir1': 'south', 'start_intersection': 'Ardagh Street', 'dist2': '64', 'rule_type': 'relative_extension'}"
Beresford Avenue,Both,Bloor Street West and a point 67.1 metres north,Anytime,"{'start_intersection': 'Bloor Street West', 'distance': '67.1', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Berwick Avenue,North,Yonge Street and a point 120.4 metres west,8:00 a.m. to 6:00 p.m.,"{'start_intersection': 'Yonge Street', 'distance': '120.4', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Berwick Avenue,South,Yonge Street and Duplex Avenue,Anytime,"{'start_intersection': 'Yonge Street', 'end_intersection': 'Duplex Avenue', 'rule_type': 'block'}"
Boardwalk Drive,East,A point 382 metres south of Queen Street East and Joseph Duggan Road,Anytime,"{'distance': '382', 'direction': 'south', 'start_intersection': 'Queen Street East', 'end_intersection': 'Joseph Duggan Road', 'rule_type': 'offset_to_intersect'}"
Boardwalk Drive,North,Northern Dancer Boulevard and Sarah Ashbridge Avenue,Anytime,"{'start_intersection': 'Northern Dancer Boulevard', 'end_intersection': 'Sarah Ashbridge Avenue', 'rule_type': 'block'}"
Boardwalk Drive,North,Sarah Ashbridge Avenue and Joseph Duggan Road,Anytime,"{'start_intersection': 'Sarah Ashbridge Avenue', 'end_intersection': 'Joseph Duggan Road', 'rule_type': 'block'}"
Beresford Avenue,East,Annette Street and a point 37.8 metres north of Annette Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Annette Street', 'distance': '37.8', 'direction': 'north', 'offset_intersection': 'Annette Street', 'rule_type': 'intersect_to_offset'}"
Beresford Avenue,West,A point 67.1 metres north of Bloor Street west and a point 150.9 metres south of Ardagh Street,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'A point 67.1 metres north of Bloor Street west', 'distance': '150.9', 'direction': 'south', 'offset_intersection': 'Ardagh Street', 'rule_type': 'intersect_to_offset'}"
Beverley Street,East,College Street and Queen Street West,Anytime,"{'start_intersection': 'College Street', 'end_intersection': 'Queen Street West', 'rule_type': 'block'}"
Beverley Street,West,A point 15 metres north of Baldwin Street and a point 50 metres further north,"9:30 a.m. to 6:00 p.m., Mon. to Fri.","{'dist1': '15', 'dir1': 'north', 'start_intersection': 'Baldwin Street', 'dist2': '50', 'rule_type': 'relative_extension'}"
Beverley Street,West,College Street and a point 61 metres south,Anytime,"{'start_intersection': 'College Street', 'distance': '61', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Boardwalk Drive,South,Northern Dancer Boulevard and a point 25 metres east,Anytime,"{'start_intersection': 'Northern Dancer Boulevard', 'distance': '25', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Boardwalk Drive,South,A point 61 metres east of Sarah Ashbridge Avenue and Joseph Duggan Road,Anytime,"{'distance': '61', 'direction': 'east', 'start_intersection': 'Sarah Ashbridge Avenue', 'end_intersection': 'Joseph Duggan Road', 'rule_type': 'offset_to_intersect'}"
Boardwalk Drive,South,Sarah Ashbridge Avenue and a point 24 metres west,Anytime,"{'start_intersection': 'Sarah Ashbridge Avenue', 'distance': '24', 'direction': 'west', 'rule_type': 'perfect_offset'}"
Bracken Avenue,South,Scarborough Road and Victoria Park Avenue,Anytime,"{'start_intersection': 'Scarborough Road', 'end_intersection': 'Victoria Park Avenue', 'rule_type': 'block'}"
Bracondale Hill Road,Both,Davenport Road and Hillcrest Drive,Anytime,"{'start_intersection': 'Davenport Road', 'end_intersection': 'Hillcrest Drive', 'rule_type': 'block'}"
Bracondale Hill Road,Both,Hillcrest Drive and Turner Road,2:00 a.m. to 5:00 a.m.,"{'start_intersection': 'Hillcrest Drive', 'end_intersection': 'Turner Road', 'rule_type': 'block'}"
Beresford Avenue,West,Ardagh Street and a point 86.9 metres south,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Ardagh Street', 'distance': '86.9', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Beresford Avenue,West,Deforest Road and Bloor Street West,"Anytime, from Dec. 1 of one year to Mar. 31 of the next following year, inclusive","{'start_intersection': 'Deforest Road', 'end_intersection': 'Bloor Street West', 'rule_type': 'block'}"
Beverley Street,West,D'Arcy Street and a point 36.5 metres south,Anytime,"{'start_intersection': ""D'Arcy Street"", 'distance': '36.5', 'direction': 'south', 'rule_type': 'perfect_offset'}"
